City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,bethanie,-26.4833,17.15,17.44,30,0,1.18,NA,1682631810
157,aiquile,-18.2041,-65.1807,17.89,49,0,2.62,BO,1682631810
158,znamenskoye,57.1281,73.8282,13.13,68,89,3.36,RU,1682631810
159,shimokizukuri,40.8061,140.3861,12.75,71,31,4.64,JP,1682631811
160,sisimiut,66.9395,-53.6735,0.0,85,15,3.83,GL,1682631811
161,keflavik,64.0049,-22.5624,2.95,80,75,2.57,IS,1682631811
162,ormara,25.2088,64.6357,26.0,77,15,2.39,PK,1682631811
163,placido de castro,-10.3353,-67.1856,27.17,78,100,0.6,BR,1682631811
164,stanley,54.868,-1.6985,8.01,81,20,2.06,GB,1682631630
165,mahalapye,-23.1041,26.8142,21.82,44,1,3.61,BW,1682631811
166,bayanhongor,46.7167,100.1167,-8.38,54,15,1.34,MN,1682631812
167,yardimli,38.9206,48.2372,12.69,71,26,2.16,AZ,1682631812
168,broken hill,-31.95,141.4333,16.23,63,36,2.85,AU,1682631812
169,kayangel,8.0823,134.7173,28.87,75,40,3.23,PW,1682631812
170,lagunillas,10.1301,-71.2595,30.38,61,10,1.46,VE,1682631812
171,olyokminsk,60.3736,120.4264,-0.86,81,24,0.87,RU,1682631813
172,cabo san lucas,22.8909,-109.9124,28.67,44,0,6.17,MX,1682631778
173,codrington,-38.2667,141.9667,12.82,87,97,9.05,AU,1682631567
174,sao vicente,-23.9631,-46.3919,25.1,51,100,3.09,BR,1682631813
175,san rafael del yuma,18.4299,-68.6739,29.11,64,95,2.74,DO,1682631813
176,fort-shevchenko,44.5086,50.263,17.06,64,3,3.72,KZ,1682631813
177,miles city,46.4083,-105.8406,10.54,62,100,11.83,US,1682631813
178,bardstown,37.8092,-85.4669,20.77,59,100,3.6,US,1682631813
179,carnarvon,-24.8667,113.6333,19.55,51,91,10.51,AU,1682631557
180,childress,34.4264,-100.204,19.14,45,0,1.54,US,1682631682
181,saipan,15.1355,145.701,27.39,89,40,7.72,MP,1682631813
182,constantia,44.1833,28.65,6.5,64,100,7.56,RO,1682631814
183,la'ie,21.6477,-157.9253,23.98,89,27,3.34,US,1682631814
184,eyl,7.9803,49.8164,26.36,78,100,5.35,SO,1682631814
185,umm kaddadah,13.6017,26.6876,29.03,37,95,0.32,SD,1682631814
186,argo,37.6333,22.7333,13.77,70,93,1.08,GR,1682631814
187,noumea,-22.2763,166.4572,24.44,99,77,5.53,NC,1682631814
188,pangody,65.85,74.4859,-5.97,94,100,7.48,RU,1682631814
189,yakeshi,49.2833,120.7333,2.45,60,100,1.78,CN,1682631815
190,pitimbu,-7.4706,-34.8086,27.33,80,39,2.84,BR,1682631715
191,midvagur,62.0511,-7.1939,1.46,80,82,2.57,FO,1682631815
192,haimen,23.1935,116.6142,19.94,86,88,3.14,CN,1682631815
193,usinsk,65.9939,57.5281,-6.74,92,54,4.94,RU,1682631815
194,blackmans bay,-43.0167,147.3167,14.07,90,5,3.93,AU,1682631815
195,vila velha,-20.3297,-40.2925,26.97,87,20,4.63,BR,1682631815
196,strelka,58.0728,93.0344,1.93,98,100,2.99,RU,1682631815
197,punta arenas,-53.15,-70.9167,7.06,61,40,2.57,CL,1682631785
198,queenstown,-31.8976,26.8753,14.14,88,63,2.24,ZA,1682631816
199,ilulissat,69.2167,-51.1,0.01,80,20,1.54,GL,1682631816
200,yuzhno-kurilsk,44.0306,145.8556,6.91,75,47,8.35,RU,1682631816
201,nizhneangarsk,55.7833,109.55,-5.83,84,48,1.22,RU,1682631816
202,college,64.8569,-147.8028,6.18,50,40,2.57,US,1682631583
203,mugia,43.1041,-9.2179,16.76,76,100,0.44,ES,1682631816
204,olonkinbyen,70.9221,-8.7187,-1.64,95,100,10.72,SJ,1682631816
205,mili,6.0815,171.735,28.11,78,95,7.77,MH,1682631817
206,taoudenni,22.6783,-3.9836,32.53,8,2,5.68,ML,1682631817
207,cole harbour,44.6724,-63.4751,8.66,87,75,4.63,CA,1682631817
208,bredasdorp,-34.5322,20.0403,13.82,84,6,2.61,ZA,1682631817
209,new shagunnu,10.3396,4.4688,30.67,57,80,4.76,NG,1682631818
210,al kharijah,25.4514,30.5464,24.74,22,0,2.8,EG,1682631818
211,altay,47.8667,88.1167,6.39,41,59,3.25,CN,1682631818
212,adrar,20.5022,-10.0711,31.4,9,0,3.5,MR,1682631818
213,saint-pierre,-21.3393,55.4781,21.43,94,100,3.09,RE,1682631818
214,el nido,11.1858,119.3956,28.25,79,40,7.42,PH,1682631818
215,ta`u,-14.2336,-169.5144,27.99,70,100,3.87,AS,1682631818
216,haiku-pauwela,20.9219,-156.3051,26.01,77,40,5.14,US,1682631819
217,angra do heroismo,38.65,-27.2167,18.34,91,40,3.58,PT,1682631819
218,revda,56.801,59.9303,10.42,82,9,3.83,RU,1682631819
219,invercargill,-46.4,168.35,11.68,82,60,0.89,NZ,1682631819
220,vilhena,-12.7406,-60.1458,26.12,89,75,2.57,BR,1682631819
221,walvis bay,-22.9575,14.5053,15.05,61,0,4.71,NA,1682631819
222,tura,25.5198,90.2201,24.8,44,86,0.78,IN,1682631819
223,touros,-5.1989,-35.4608,25.56,88,100,2.77,BR,1682631819
224,sarmiento,-45.5882,-69.07,12.97,34,62,4.25,AR,1682631820
225,callao,-12.0667,-77.15,26.16,69,40,5.66,PE,1682631721
226,rio gallegos,-51.6226,-69.2181,10.03,53,75,6.69,AR,1682631537
227,san jose de jachal,-30.2406,-68.7469,23.8,29,0,1.03,AR,1682631820
228,bandarbeyla,9.4942,50.8122,28.17,68,100,4.53,SO,1682631820
229,atar,20.5169,-13.0499,32.87,16,40,2.52,MR,1682631820
230,utrik,11.2278,169.8474,26.83,83,60,9.09,MH,1682631820
231,bazarak,35.3129,69.5152,9.98,51,0,1.72,AF,1682631820
232,happy valley-goose bay,53.3168,-60.3315,11.17,43,75,3.6,CA,1682631761
233,golpayegan,33.4537,50.2884,13.64,55,38,1.28,IR,1682631821
234,santa rosa de viterbo,-21.4728,-47.3631,18.76,94,9,0.9,BR,1682631821
235,poronaysk,49.2167,143.1167,3.19,69,99,3.36,RU,1682631821
236,fukuecho,32.6881,128.8419,17.02,81,92,6.32,JP,1682631821
237,shengli,37.4564,118.4856,16.55,67,100,2.94,CN,1682631821
238,catalhoyuk,37.6685,32.8269,7.12,80,93,2.44,TR,1682631821
239,quatre cocos,-20.2078,57.7625,24.49,79,98,4.84,MU,1682631821
240,suamico,44.6319,-88.0393,18.74,41,20,6.17,US,1682631821
241,geidam,12.897,11.9304,31.08,11,58,3.11,NG,1682631822
242,charters towers,-20.1,146.2667,20.39,76,35,3.04,AU,1682631822
243,fabens,31.5023,-106.1586,28.97,8,1,6.41,US,1682631822
244,al ghayzah,16.2079,52.176,28.33,83,10,4.35,YE,1682631822
245,martapura,-3.4167,114.85,25.05,94,40,3.09,ID,1682631822
246,namibe,-15.1961,12.1522,23.21,76,33,1.06,AO,1682631822
247,bima,-8.4667,118.7167,24.55,93,80,0.44,ID,1682631823
248,gainesville,29.6516,-82.3248,28.21,51,20,3.6,US,1682631806
249,quiberon,47.4841,-3.1196,14.78,94,100,3.13,FR,1682631824
250,itoman,26.1247,127.6694,21.01,78,40,1.54,JP,1682631824
251,arvin,35.2091,-118.8284,34.11,44,17,2.57,US,1682631824
252,sidney,-33.8679,151.2073,16.51,90,20,3.6,AU,1682631714
253,perugorria,-29.3413,-58.6106,21.08,56,5,2.89,AR,1682631824
254,punta del este,-34.9667,-54.95,17.71,87,0,2.57,UY,1682631824
255,tingi,-11.3,35.0333,14.75,91,42,1.27,TZ,1682631825
256,minas de marcona,-15.2119,-75.1103,18.88,73,8,5.93,PE,1682631825
257,kavaratti,10.5669,72.642,28.21,72,91,1.98,IN,1682631825
258,kaposvar,46.3667,17.8,7.58,69,42,1.18,HU,1682631825
259,albu kamal,34.45,40.9186,24.77,20,44,2.51,SY,1682631826
260,dampit,-8.2116,112.7493,21.53,94,99,1.12,ID,1682631826
261,fale old settlement,-9.3852,-171.2468,28.46,76,100,5.6,TK,1682631553
262,st. john's,47.5649,-52.7093,4.32,85,75,5.66,CA,1682631826
263,bonthe,7.5264,-12.505,26.95,75,55,3.03,SL,1682631826
264,bowen,-20.0167,148.2333,22.01,80,3,4.16,AU,1682631827
265,aldinga beach,-35.2793,138.4604,16.9,77,91,6.69,AU,1682631592
266,villa hernandarias,-31.231,-59.985,21.03,59,13,3.58,AR,1682631827
267,ancud,-41.8697,-73.8203,12.0,95,100,3.88,CL,1682631827
268,lockwood,45.8191,-108.4149,11.34,54,75,11.32,US,1682631827
269,kangding,30.0513,101.9603,7.76,95,94,1.43,CN,1682631827
270,colonia,50.9333,6.95,12.36,54,0,2.06,DE,1682631608
271,la passe,45.5549,-0.8967,17.13,90,98,1.76,FR,1682631828
272,okahao,-17.885,15.0667,26.53,28,13,2.15,NA,1682631829
273,inhambane,-23.865,35.3833,22.88,82,1,4.85,MZ,1682631647
274,hermanus,-34.4187,19.2345,15.79,82,21,5.14,ZA,1682631742
275,arboletes,8.8505,-76.4269,27.5,78,100,4.61,CO,1682631829
